node,totDeg,nLines,nServices,cbHops,cbDist,cbTime,toV_u30,toV_3060,toV_6090,toV_u60,toV_u90,toV_o90
560,2,1,75,0.0199238150495171,0.03852052896504552,0.010079889551581218,0.017935157507472984,0.4483789376868246,0.3520349505633479,0.46631409519429756,0.8183490457576454,0.1759025063232927
566,2,1,75,0.010983195548493762,0.042326618307210837,0.014541738325971741,0.016325592090135663,0.43688204184870083,0.36031271556679695,0.4532076339388365,0.8135203495056335,0.18004138882501725
562,2,1,75,0.01084799849351026,0.040499380147402314,0.01065376673231313,0.013796275005748447,0.40653023683605427,0.38169694182570707,0.4203265118418027,0.8020234536675098,0.191078408829616
563,2,2,124,0.0010998392992786917,0.2417113117276287,0.0015886003041938018,0.1857898367440791,0.5224189468843412,0.1653253621522189,0.7082087836284203,0.8735341457806393,0.12025753046677397
445,2,1,75,0.01671972162911228,0.018419067997263974,0.008095218438477443,0.17291331340538055,0.46884341227868476,0.22257990342607495,0.6417567256840653,0.8643366291101403,0.12945504713727293
448,2,1,75,0.01671972162911228,0.018419067997263974,0.008095218438477443,0.14808001839503335,0.4722924810301219,0.2382156817659232,0.6203724994251552,0.8585881811910784,0.13474361922280984
447,2,1,75,0.009395322641191995,0.021270781415198416,0.0121054891863851,0.06001379627500575,0.47942055644975856,0.29225109220510465,0.5394343527247644,0.831685444929869,0.1618762934007818
451,2,1,75,0.010830342064887012,0.021270781415198416,0.012212762942117305,0.044378017935157506,0.4706829156127845,0.3092664980455277,0.515060933547942,0.8243274315934698,0.17015405840423087
453,2,1,75,0.012975057538815029,0.0414278011450848,0.02313483454978557,0.1761324442400552,0.5191998160496666,0.17475281673948034,0.6953322602897217,0.8700850770292021,0.12370659921821109
450,2,1,75,0.014956837228862775,0.0414278011450848,0.023339845727127325,0.15520809381467005,0.5274775810531157,0.18280064382616693,0.6826856748677858,0.8654863186939526,0.12830535755346056
452,2,1,75,0.012975057538815029,0.0414278011450848,0.02313483454978557,0.1414118188089216,0.5304667739710278,0.1901586571625661,0.6718785927799494,0.8620372499425155,0.13175442630489767
4680,2,1,34,0.0010995848246606263,0.14142746713858376,0.11829007503398105,0.01770521959071051,0.061393423775580595,0.4076799264198666,0.0790986433662911,0.48677856978615774,0.506783168544493
3660,3,2,191,0.0022296693395731787,0.00992924283495292,0.5441981549526698,0.012416647505173604,0.045297769602207404,0.23844561968268568,0.057714417107381004,0.2961600367900667,0.6987813290411589
1389,4,3,292,0.003343215778865445,0.007944680260836097,0.5441981549526698,0.010807082087836284,0.038169694182570706,0.18647965049436652,0.04897677627040699,0.23545642676477352,0.7594849390664521
615,5,3,296,0.4553683329240533,0.1967009163974633,0.3248654541551712,0.23338698551391124,0.47160266727983446,0.18555989882731663,0.7049896527937457,0.8905495516210623,0.1039319383766383
3170,4,2,65,0.13167854114595318,0.11851939966178388,0.3305241547881125,0.27799494136583125,0.457806392274086,0.15037939756265808,0.7358013336399172,0.8861807312025753,0.10715106921131294
3182,4,2,65,0.15198594901235232,0.2460977005528851,0.6274936936466877,0.292940905955392,0.4548171993561738,0.13911243964129685,0.7477581053115658,0.8868705449528628,0.1057714417107381
503,3,2,197,0.06264716423109515,0.08783652826015269,0.16178179315161134,0.3246723384686135,0.42814440101172685,0.13796275005748448,0.7528167394803403,0.8907794895378248,0.10347206254311336
1304,5,3,297,0.00550301361566444,0.366137107615288,0.3952652212682779,0.04069901126695792,0.43320303518050124,0.3662911014026213,0.4739020464474592,0.8401931478500805,0.1547482179811451
3639,3,2,191,0.003302826067870925,0.366137107615288,0.3952652212682779,0.025753046677397102,0.3731892389054955,0.4134283743389285,0.39894228558289263,0.8123706599218211,0.18257070590940447
3522,2,2,134,0.0690094448254495,0.0019015258349552922,0.001590438111116747,0.008277765003449069,0.032421246263508854,0.05817429294090595,0.04069901126695792,0.09887330420786387,0.8960680616233617
3536,3,2,102,0.07011055649781851,0.12114218113406874,0.10132344152135128,0.008277765003449069,0.031961370429983905,0.05725454127385606,0.04023913543343297,0.09749367670728903,0.8974476891239366
3533,2,2,102,0.07098433434425075,0.12660783555457986,0.13830028476421166,0.00781788916992412,0.028282363761784318,0.05219590710508163,0.03610025293170844,0.08829616003679007,0.9066452057944355
3534,2,2,102,0.1409972669285882,0.11898161951698615,0.1108988116086912,0.00781788916992412,0.026902736261209474,0.05173603127155668,0.03472062543113359,0.08645665670269027,0.9084847091285353
3538,3,2,102,0.08182631417317737,0.12660783555457986,0.1395258437430405,0.00666819958611175,0.02437341917682226,0.050356403770981835,0.031041618762934008,0.08139802253391584,0.9135433432973097
3537,2,1,67,0.012734398527838545,0.08596862361101287,0.0217409349502966,0.00666819958611175,0.02276385375948494,0.049896527937456886,0.02943205334559669,0.07932858128305358,0.915612784548172
3539,2,1,67,0.02005274822625901,0.08018441868214743,0.015789088641150133,0.00666819958611175,0.021844102092435043,0.04897677627040699,0.028512301678546792,0.07748907794895378,0.9174522878822717
3540,2,1,67,0.011047091781012151,0.08596862361101287,0.021549968192299124,0.005978385835824327,0.020464474591860196,0.0471372729363072,0.026442860427684525,0.07358013336399172,0.9213612324672339
3541,2,1,67,0.012734398527838545,0.08596862361101287,0.0217409349502966,0.005978385835824327,0.017935157507472984,0.04575764543573235,0.02391354334329731,0.06967118877902966,0.9252701770521959
3542,2,1,67,0.010911108198790482,0.08225736209543137,0.015788231713637337,0.005748447919061853,0.016095654173373188,0.04506783168544493,0.021844102092435043,0.06691193377787998,0.9280294320533456
3544,2,1,67,0.02005274822625901,0.08018441868214743,0.015789088641150133,0.005748447919061853,0.014026212922510922,0.04322832835134514,0.019774660841572776,0.06300298919291791,0.9319383766383077
3543,2,1,67,0.012734398527838545,0.08596862361101287,0.0217409349502966,0.005518510002299379,0.0133363991722235,0.04161876293400782,0.01885490917452288,0.0604736721085307,0.9344676937226949
3545,2,1,67,0.010911108198790482,0.08225736209543137,0.015788231713637337,0.005058634168774431,0.013106461255461025,0.03977925959990802,0.018165095424235455,0.05794435502414348,0.9369970108070821
3546,2,1,67,0.012734398527838545,0.08596862361101287,0.0217409349502966,0.005058634168774431,0.012646585421936076,0.03839963209933318,0.01770521959071051,0.056104851690043686,0.9388365141411819
3547,4,2,117,0.07082359437763779,0.2490704408314331,0.10232541385574097,0.015175902506323292,0.03679006668199586,0.07518969878132904,0.05196596918831915,0.1271556679696482,0.8677856978615773
3548,2,1,67,0.08861348485061167,0.19654795938053565,0.06533802145128667,0.01448608875603587,0.03564037709818349,0.06898137502874224,0.050126465854219364,0.1191078408829616,0.8758335249482639
3549,2,1,67,0.044469948456166114,0.19888369403144127,0.0603491686129042,0.014026212922510922,0.033800873764083694,0.06599218211083008,0.04782708668659462,0.1138192687974247,0.8811220970338008
3550,2,1,67,0.041153598405387744,0.2090679095708297,0.10664868909939007,0.011037020004598759,0.03656012876523339,0.061853299609105544,0.04759714876983215,0.10945044837893769,0.8852609795355254
3552,2,1,67,0.041153598405387744,0.2090679095708297,0.10664868909939007,0.011266957921361233,0.03426074959760864,0.05840423085766843,0.04552770751896988,0.1039319383766383,0.8910094274545872
3553,2,1,67,0.024788670819495685,0.22097123693224566,0.1342624460956006,0.010807082087836284,0.032421246263508854,0.05564497585651874,0.04322832835134514,0.09887330420786387,0.8960680616233617
3555,2,1,67,0.041153598405387744,0.2090679095708297,0.10664868909939007,0.010117268337548863,0.030811680846171533,0.051046217521269255,0.04092894918372039,0.09197516670498965,0.9029661991262359
3554,2,1,67,0.024788670819495685,0.22097123693224566,0.1342624460956006,0.010117268337548863,0.028742239595309266,0.04943665210393194,0.038859507932858126,0.08829616003679007,0.9066452057944355
3556,2,1,67,0.021504173995624654,0.22097123693224566,0.13308311944243206,0.009887330420786388,0.027362612094734423,0.049666590020694415,0.03724994251552081,0.08691653253621522,0.9080248332950104
3557,2,1,67,0.02123946952221118,0.21143191882721515,0.09750117068300992,0.009887330420786388,0.026442860427684525,0.04782708668659462,0.03633019084847091,0.08415727753506554,0.9107840882961601
3558,2,1,67,0.021504173995624654,0.22097123693224566,0.13308311944243206,0.00942745458726144,0.025523108760634627,0.04736721085306967,0.03495056334789607,0.08231777420096574,0.9126235916302599
3559,2,1,67,0.024788670819495685,0.22097123693224566,0.1342624460956006,0.007587951253161646,0.02276385375948494,0.045987583352494824,0.030351805012646584,0.07633938836514141,0.9186019774660842
3560,2,1,67,0.041153598405387744,0.2090679095708297,0.10664868909939007,0.0068981375028742235,0.020464474591860196,0.045987583352494824,0.027362612094734423,0.07335019544722925,0.9215911703839963
